Status,FeatureType,PropertyName,Borough,Longitude,Latitude
Activated,Hydrant Spray Cap,Flushing Meadows Corona Park,Queens,"1,028,065.56","210,035.25"
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Queens,"1,028,584.08","210,580.93"
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Queens,"1,029,501.01","212,691.75"
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Queens,"1,027,404.12","210,945.48"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,007,308.86","227,792.61"
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Queens,"1,025,939.23","209,606.39"
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Queens,"1,025,675.12","211,151.39"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,007,812.33","228,119.34"
Activated,Hydrant Spray Cap,Flushing Meadows Corona Park,Queens,"1,025,261.17","211,182.36"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,007,706.36","228,331.37"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,006,436.51","228,639.97"
Activated,CS Spray Adapter,Claremont Park,Bronx,"1,010,008.26","245,876.65"
Activated,CS Spray Adapter,Claremont Park,Bronx,"1,009,691.53","244,482.33"
Activated,Misting Station,John Hancock Playground,Brooklyn,"996,698.68","187,829.58"
Broken,Misting Station,Betty Carter Park,Brooklyn,"990,619.56","189,620.94"
Activated,Misting Station,Fulton Park,Brooklyn,"1,002,601.83","186,896.35"
Activated,Misting Station,Jackie Robinson Park Playground,Brooklyn,"1,004,402.20","187,151.97"
Activated,Misting Station,Thomas Boyland Park,Brooklyn,"1,009,938.47","187,793.70"
Activated,Misting Station,Murray Playground,Queens,"998,454.25","211,575.83"
Activated,Misting Station,Murray Playground,Queens,"998,423.85","211,453.65"
Activated,Misting Station,Murray Playground,Queens,"998,709.93","211,533.04"
Activated,Misting Station,Murray Playground,Queens,"998,672.87","211,371.62"
Activated,Misting Station,Queensbridge Park,Queens,"998,684.31","215,129.14"
Activated,Misting Station,Newtown Playground,Queens,"1,020,386.89","207,581.75"
Activated,Misting Station,Maurice A FitzGerald Playground,Queens,"1,028,831.94","190,852.89"
Activated,Misting Station,Detective Keith L Williams Park,Queens,"1,043,801.84","195,882.62"
Activated,Misting Station,Mapes Pool,Bronx,"1,015,601.27","247,834.63"
Activated,Misting Station,Monsignor Raul Del Valle Square,Bronx,"1,014,521.12","238,306.74"
Activated,Buckner Box Spray Adapter,Pulaski Park,Bronx,"1,004,950.37","232,756.48"
Activated,RPZ Spray Adapter,Pulaski Park,Bronx,"1,005,277.47","232,629.41"
Activated,Buckner Box Spray Adapter,People's Park,Bronx,"1,007,220.44","234,154.67"
Activated,CS Spray Adapter,Clark Playground,Bronx,"1,006,071.68","235,841.37"
Activated,Buckner Box Spray Adapter,Bathgate Playground,Bronx,"1,013,441.36","249,734.08"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,006,850.76","228,325.82"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,005,408.88","231,203.47"
Activated,Drinking Fountain Spray Adapter,Eae J Mitchell Park,Bronx,"1,016,299.59","244,052.77"
Activated,Drinking Fountain Spray Adapter,Aqueduct Walk,Bronx,"1,007,988.01","249,387.09"
Activated,Buckner Box Spray Adapter,Bill Rainey Park,Bronx,"1,012,741.57","237,906.68"
Activated,Buckner Box Spray Adapter,Tiffany Playground,Bronx,"1,013,528.50","239,794.05"
Activated,CS Spray Adapter,Magenta Playground,Bronx,"1,020,823.63","257,626.70"
Activated,Buckner Box Spray Adapter,Rev J Polite Playground,Bronx,"1,012,505.35","240,516.46"
Not Yet Activated,Misting Station,P.S. 155 Playground,Manhattan,"1,002,131.40","229,817.84"
Activated,Buckner Box Spray Adapter,Watson Gleason Playground,Bronx,"1,020,567.06","240,854.80"
Activated,Ground Hydrant Spray Adapter,Lyons Square Park,Bronx,"1,015,203.55","238,904.86"
Activated,Buckner Box Spray Adapter,Vidalia Park,Bronx,"1,017,055.20","246,862.27"
Activated,Buckner Box Spray Adapter,Vidalia Park,Bronx,"1,016,993.21","246,714.61"
Not Yet Activated,Other,Rev Lena Irons Unity Park,Bronx,"1,010,025.94","242,030.78"
Activated,Misting Station,Howard Bennett Playground,Manhattan,"1,001,241.43","235,672.07"
Activated,Buckner Box Spray Adapter,Rev Lena Irons Unity Park,Bronx,"1,010,121.66","242,107.35"
Activated,Drinking Fountain Spray Adapter,Benjamin Gladstone Square,Bronx,"1,014,435.79","240,004.64"
Broken,Misting Station,Heckscher Playground,Brooklyn,"1,006,937.80","192,476.64"
Broken,Misting Station,Pulaski Playground,Brooklyn,"1,000,367.23","191,911.26"
Activated,Misting Station,Sheltering Arms Playground,Manhattan,"996,617.10","236,195.27"
Activated,Misting Station,Lt. Wm. Tighe Triangle,Manhattan,"1,004,127.15","254,744.94"
Activated,Misting Station,Highbridge Park,Manhattan,"1,002,752.45","246,867.81"
Activated,Buckner Box Spray Adapter,Washington Park,Bronx,"1,013,793.69","251,150.31"
Activated,Misting Station,Railroad Park,Bronx,"1,007,693.17","239,854.39"
Activated,Misting Station,Railroad Park,Bronx,"1,007,614.55","239,901.28"
Activated,Buckner Box Spray Adapter,Rose Hill Park,Bronx,"1,014,556.14","253,378.87"
Activated,Other,Fox Playground,Bronx,"1,012,380.25","236,279.43"
